"line","text","value"
1,"pessoas",4
2,"clientes",4
3,"cultura",4
4,"empresa",4
5,"forma",4
6,"sempre",4
7,"valor",4
8,"valorizamos",4
9,"mundo",4
10,"alta",4
11,"através",4
12,"fazer",4
13,"impacto",4
14,"missão",4
15,"excelência",4
16,"gerar",4
17,"grandes",4
18,"objetivos",4
19,"positivo",4
20,"respeito",4
21,"tecnologia",4
22,"aprendizado",4
23,"colaboradores",4
24,"desafios",4
25,"maior",4
26,"impacto positivo",5
27,"alta performance",5
28,"gerar valor",5
29,"ajudar organizações",5
30,"aprendizado contínuo",5
31,"atividade aprendizado",5
32,"através uso",5
33,"clientes através",5
34,"excelência alta",5
35,"grande empresa",5
